pack,key,legacy_label,title,nickname,attainability_rank,rarity,requirement,file
core,starter,Starter,Starter,,1,Common,1 gespeeld potje.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-starter.png
core,groeier,Groeier,Groeier,,2,Common,5 geverifieerde potjes of 10 geverifieerde drankacties.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-groeier.png
core,actief,Actief,Actief,De Huisvriend,3,Uncommon,15 potjes totaal of 25 geverifieerde drankacties.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-actief.png
core,gold,Gold,Gouden Hand,De Gouden,4,Rare,Minstens 30 potjes totaal en minstens 55% winrate over je beste spel.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-gold.png
core,legend,Legend,Legende,De Legende,5,Epic,Minstens 60 potjes totaal en minstens 60% winrate over je beste spel.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-legend.png
core,klaverkoning,,Klaverkoning,De Kaartvorst,6,Rare,20 klaverjaszeges.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-klaverkoning.png
core,bruggenbouwer,,Bruggenbouwer,De Brugwachter,7,Rare,20 boerenbridge-potjes of 10 boerenbridgezeges.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-bruggenbouwer.png
core,snelheidsduivel,,Snelheidsduivel,De Bliksem,8,Rare,3 geverifieerde snelheidsrecords onder de drempel van hun drankje.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-snelheidsduivel.png
core,ijskoud,,IJskoud,De Vriezer,9,Rare,Een geverifieerde Ice-tijd onder 25 seconden.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-ijskoud.png
core,kurkentrekker,,Kurkentrekker,De Flessentrekker,10,Rare,5 geverifieerde fles-wijn of wijnfles-events.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-kurkentrekker.png
core,verifieermeester,,Verifieermeester,De Getuige,11,Epic,50 geaccepteerde verificatiestemmen op andermans requests.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-verifieermeester.png
core,pussycup_prins,,Pussycup-prins,Fluwelen Pols,12,Epic,Minstens 12 beerpongpotjes en pussycup-percentage van minstens 75%.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-pussycup_prins.png
core,onbreekbaar,,Onbreekbaar,De Onbreekbare,13,Epic,10 geverifieerde overwinningen op rij over alle spellen samen.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-onbreekbaar.png
core,spinozageest,,Spinoza-geest,De Spinozist,14,Legendary,"Breed actief: 25 potjes, 20 geverifieerde drankacties, 10 geaccepteerde verificaties en activiteit in minstens 2 spelcategorieen.",C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\badge-spinozageest.png
expansion,alleskunner,,Alleskunner,De Veelvraat,15,Epic,"Minstens 10 geregistreerde potjes in klaverjas, boerenbridge en beerpong.",C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\expansion\badge-alleskunner.png
expansion,nachtburgemeester,,Nachtburgemeester,De Nachtwacht,16,Epic,12 geverifieerde drank- of snelheidsacties tussen 01:00 en 05:00.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\expansion\badge-nachtburgemeester.png
expansion,dorstmachine,,Dorstmachine,De Dorstmotor,17,Rare,40 geverifieerde drinkunits totaal.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\expansion\badge-dorstmachine.png
expansion,literlegende,,Literlegende,De Tapkraan,18,Legendary,3 geverifieerde liter bier-pogingen onder 90 seconden.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\expansion\badge-literlegende.png
expansion,bekerbeul,,Bekerbeul,De Pingbeul,19,Rare,20 beerpongzeges.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\expansion\badge-bekerbeul.png
expansion,trouwewachter,,Trouwe Wachter,De Portier,20,Rare,20 geaccepteerde verificatiestemmen op requests van anderen.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\expansion\badge-trouwewachter.png
expansion,salonleeuw,,Salonleeuw,De Fluwelen Gast,21,Rare,10 goedgekeurde ballroom-entrees of 5 keer als koning in de ballroom.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\expansion\badge-salonleeuw.png
expansion,ijzerenmaag,,IJzeren Maag,De Betonmaag,22,Epic,5 geverifieerde avonden met minstens 10 drinkunits.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\expansion\badge-ijzerenmaag.png
expansion,laatsteronde,,Laatste Ronde,De Nachtdienst,23,Legendary,5 geverifieerde acties na 04:00 in de nacht.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\expansion\badge-laatsteronde.png
prestige,fluwelenvorst,,Fluwelen Vorst,De Rode Baron,24,Legendary,10 keer ballroom-koning of 25 goedgekeurde ballroom-entrees.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\prestige\badge-fluwelenvorst.png
prestige,rozenkoning,,Rozenkoning,De Charmeur,25,Legendary,15 verschillende geverifieerde overwinningen op speciale dagen of avonden met minstens 3 deelnemers.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\prestige\badge-rozenkoning.png
prestige,vuurproef,,Vuurproef,De Vlam,26,Epic,7 geverifieerde snelheids- of drankrecords in 7 opeenvolgende actieve dagen.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\prestige\badge-vuurproef.png
prestige,sleuteldrager,,Sleuteldrager,De Binnenste Kring,27,Epic,Minstens 100 potjes totaal en activiteit in minstens 4 grote siteonderdelen.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\prestige\badge-sleuteldrager.png
prestige,dobbelofniets,,Dobbel of Niets,De Waaghals,28,Rare,12 onverwachte comebacks of 12 geverifieerde overwinningen na achterstand.,C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\prestige\badge-dobbelofniets.png
prestige,kaartopera,,Kaartopera,De Dirigent,29,Epic,"20 klaverjas- en 20 boerenbridgezeges, plus minstens 5 live spectator-wedstrijden als deelnemer.",C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\prestige\badge-kaartopera.png
prestige,avondster,,Avondster,De Laatste Gloed,30,Mythic,"Uiterst zeldzaam: 50 potjes, 50 geverifieerde drankacties, 25 geaccepteerde verificaties, minstens 2 speedrecords en activiteit in ballroom en live spectator-games.",C:\Users\jespe\Documents\wordt-er-gejast\badge_pack\output\prestige\badge-avondster.png
